Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE17795215960626,Thu Feb 13 05:47:35 CET 2020,265.8,EUR,Ut ut necessitatibus itaque ullam.
Jos,BE69771770897312,BE25169011561250,Sun Feb 16 02:35:43 CET 2020,2904.33,EUR,Autem consequatur dolores et reprehenderit modi ab.
Jos,BE69771770897312,BE21339403994068,Sun Feb 09 06:22:34 CET 2020,-956.62,EUR,Error est dicta nesciunt vel dolorem error odio.
Jos,BE69771770897312,BE07043977613787,Wed Feb 12 03:53:32 CET 2020,-4950.98,EUR,Soluta hic corporis eligendi sit aut non.
Jos,BE69771770897312,BE50148101821469,Tue Feb 11 16:37:08 CET 2020,-4385.94,EUR,Eaque incidunt cumque fugiat explicabo ullam.
Jos,BE69771770897312,BE28041414349415,Fri Feb 14 00:02:00 CET 2020,4383.9,EUR,Aut blanditiis mollitia aut repudiandae nesciunt.
Jos,BE69771770897312,BE17383873017423,Mon Feb 03 06:38:09 CET 2020,-4551.72,EUR,Aut eligendi corrupti necessitatibus qui ut at excepturi.
Jos,BE69771770897312,BE12660460968197,Sun Feb 09 07:22:32 CET 2020,-3814.91,EUR,Quo deserunt quis qui.
Jos,BE69771770897312,BE97640838727736,Wed Feb 12 10:26:34 CET 2020,359.63,EUR,Minus vitae voluptatum ut non ea dolores.
Jos,BE69771770897312,BE21422600468917,Wed Feb 12 19:28:31 CET 2020,2959.35,EUR,Ducimus est omnis et omnis.
Jos,BE69771770897312,BE46563052395243,Tue Feb 18 13:53:55 CET 2020,-1371.66,EUR,Incidunt id voluptatem dolores et voluptatum sit.
Jos,BE69771770897312,BE70059105304786,Sun Jan 26 23:41:06 CET 2020,1650.21,EUR,Ea natus et eligendi ipsum consequatur.
Jos,BE69771770897312,BE04074701153863,Tue Feb 18 04:25:00 CET 2020,-1500.65,EUR,Ullam et quasi eveniet.
Jos,BE69771770897312,BE10787490498960,Thu Feb 06 10:02:50 CET 2020,-384.75,EUR,Et sit deserunt ut doloremque non sit.
Jos,BE69771770897312,BE39492470859275,Sun Feb 16 13:18:44 CET 2020,4227.08,EUR,Nostrum animi aliquid sed.
Jos,BE69771770897312,BE57989114205257,Sat Feb 01 07:07:15 CET 2020,-1623.63,EUR,Ipsa fuga et ut.
Jos,BE69771770897312,BE44428389937171,Sat Feb 15 02:17:12 CET 2020,4306.76,EUR,In maiores corrupti minima in molestiae.
Jos,BE69771770897312,BE43744035550040,Mon Feb 03 11:05:27 CET 2020,-765.15,EUR,Quae omnis omnis itaque architecto illo et.
Jos,BE69771770897312,BE83680524359134,Tue Feb 11 21:57:18 CET 2020,837.3,EUR,Ab et et ab quo aperiam.
Jos,BE69771770897312,BE90866158674518,Mon Feb 17 08:26:11 CET 2020,3102.6,EUR,Quos et error nemo.
Jos,BE69771770897312,BE12002447170882,Thu Feb 06 13:38:16 CET 2020,2746.02,EUR,Quo unde consequatur cupiditate distinctio.
Jos,BE69771770897312,BE35327290289951,Wed Feb 12 00:34:47 CET 2020,-1965.99,EUR,Pariatur quia laborum.
